"Occurrence_ID"	"Island_ID"	"OceanRegion"	"Archipelagoname"	"IslandName"	"Class"	"Order"	"Family"	"Species_name"	"Species_ID"	"Status"	"Body_mass"	"Log_mass"	"Surrogate_used_mass"	"Flying"	"Diet"	"Long"	"Lat"	"Area"	"Dist"	"SLMP"	"Elev"	"status.binary"
1	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Charadriiformes"	"Laridae"	"Larus michahellis"	181	"Extant"	867	2.938019097	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
2	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Columbiformes"	"Columbidae"	"Columba bollii"	59	"Extant"	349.9673913	2.54402758	1	1	3	-17.232609	28.117411	372.21	347.18	0.757	1376	0
3	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Columbiformes"	"Columbidae"	"Columba junoniae"	61	"Extant"	349.9673913	2.54402758	1	1	3	-17.232609	28.117411	372.21	347.18	0.757	1376	0
4	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Corvidae"	"Corvus corax"	72	"Extant"	941	2.973589623	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
5	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Sylviidae"	"Sylvia atricapilla"	325	"Extant"	16.7	1.222716471	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
6	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Sylviidae"	"Sylvia conspicillata"	326	"Extant"	9	0.954242509	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
7	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Sylviidae"	"Sylvia melanocephala"	327	"Extant"	11.7	1.068185862	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
8	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Turdidae"	"Erithacus rubecula"	114	"Extant"	17.7	1.247973266	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
9	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Turdidae"	"Turdus merula"	340	"Extant"	89.05	1.949633924	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
10	1	"Atlantic"	"Canaryislands"	"LaGomera"	"Aves"	"Passeriformes"	"Paridae"	"Parus teneriffae"	248	"Extant"	10	1	0	1	1	-17.232609	28.117411	372.21	347.18	0.757	1376	0
