site_name	site_code	country_code	country	site_area_ha	area_of_study_ha	dead_wood_sampling_method	latidute_n_new	longitude_e_new	altitude_m	altitude_average_m	altitude_strm	annual_precipitation_diff_sources_mm	precipitation_of_warmest_quarter_bio18	precipitation_in_vegetation_period	annual_precipitation_bio12_mm	annual_evaporation_mm	water_balance_prec_evap	snow_cover_modis_myd10v5	mean_temperature_of_the_warmst_month	max_temp_of_warmest_month_bio5	mean_temperature_of_the_coldest_month	min_temp_of_coldest_month_bio6	temp_annual_range_bio7	mean_annual_temperature	mean_temperature_in_vegetation_period	mean_temperature_of_warmest_quarter_bio10	annual_mean_temp_bio1	soil_type_fao85_lev1_eu_soil_atlas	ellenberg_quotient_q	lang_quotient_based_on_world_clim	corine_2006	main_tree_species_only_tree_species_with_more_than_10_m3_living_volume	forest_type_bear	beech_proportion	deciduous_proportion_minus_beech	conifer_proportion	eunis_only_dominating_forest_type	forest_type_natura_2000_eu_habitat_directive	natural_disturbance_wind	natural_disturbance_snow	natural_disturbance_waterlogging	natural_disturbance_drought	natural_disturbance_insects	natural_disturbance_fungi	reserve_established_year	reserve_age	reserve_classification	virgin_forest	former_coppice	former_high_forest	former_wood_pasture	living_tree_volume_m3_ha_1_total	living_tree_volume_m3_ha_1_fagus	living_tree_volume_m3_ha_1_quercus	living_tree_volume_m3_ha_1_fraxinus	living_tree_volume_m3_ha_1_acer	living_tree_volume_m3_ha_1_other_decideuous	living_tree_volume_m3_ha_1_abies	living_tree_volume_m3_ha_1_picea	living_tree_volume_m3_ha_1_other_coniferous	living_tree_volume_m3_ha_1_minimum_dbh_recorded_cm	living_tree_volume_m3_ha_1_year_recorded	snag_standing_dead_trees_volume_m3_ha_1_total	snag_standing_dead_trees_volume_m3_ha_1_fagus	snag_standing_dead_trees_volume_m3_ha_1_quercus	snag_standing_dead_trees_volume_m3_ha_1_fraxinus	snag_standing_dead_trees_volume_m3_ha_1_acer	snag_standing_dead_trees_volume_m3_ha_1_other_decideuous	snag_standing_dead_trees_volume_m3_ha_1_abies	snag_standing_dead_trees_volume_m3_ha_1_picea	snag_standing_dead_trees_volume_m3_ha_1_other_coniferous	snag_standing_dead_trees_volume_m3_ha_1_minimum_dbh_recorded_cm	snag_standing_dead_trees_volume_m3_ha_1_year_recorded	fallen_log_volume_m3_ha_1_total	fallen_log_volume_m3_ha_1_fagus	fallen_log_volume_m3_ha_1_quercus	fallen_log_volume_m3_ha_1_fraxinus	fallen_log_volume_m3_ha_1_acer	fallen_log_volume_m3_ha_1_other_decideuous	fallen_log_volume_m3_ha_1_abies	fallen_log_volume_m3_ha_1_picea	fallen_log_volume_m3_ha_1_other_coniferous	fallen_log_volume_m3_ha_1_minimum_dbh_recorded_cm	fallen_log_volume_m3_ha_1_year_recorded	total_dead_volume_m3_ha_1_total	total_dead_volume_m3_ha_1_fagus	total_dead_volume_m3_ha_1_quercus	total_dead_volume_m3_ha_1_fraxinus	total_dead_volume_m3_ha_1_acer	total_dead_volume_m3_ha_1_other_decideuous	total_dead_volume_m3_ha_1_abies	total_dead_volume_m3_ha_1_picea	total_dead_volume_m3_ha_1_other_coniferous	dead_living_volume_percent	snag_log_ratio_percent	no_of_sampled_trees	decay_stages_of_cwd4	beech_boys_average_dbh	beech_boys_average_dc	beech_boys_average_moss_cover	beech_boys_average_bark_cover	beech_boys_average_soil_contact	beech_boys_number_of_logs	beech_boys_number_of_species	beech_boys_chao2_estimated_species_richness_based_on_n_20	beech_boys_number_of_fungi_per_log	vegetation_nerea	utmy	utmx	ut_mzone	connectivity_1_km	connectivity_10_km	connectivity_100_km	beech_boys_region
Lumini Gashi	NA	AL	Albania	NA	NA	NA	42.46939964	20.06233837	NA	NA	1072	NA	NA	NA	1154	407	747	21.7	NA	22.7	NA	-5.3	27.8	NA	NA	NA	7.7	B	NA	150	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.96	4.78	2.07	NA
Mirdita	AL_Mirdi	AL	Albania	3500	5	CS	NA	NA	1370-1430	1400	NA	2600	NA	NA	NA	NA	0	NA	20	NA	-3.5	NA	NA	7	NA	NA	NA	NA	7.7	NA	NA	Fa	F5a	1	0	0	G1.63	9130	W	NA	NA	NA	NA	FALSE	NA	NA	0	V	NA	NA	NA	560	559	0	0	2	0	0	0	0	7	1997	5	5	0	0	0	0	0	0	0	7	1997	35	35	0	0	0	0	0	0	0	20	1997	40	40	0	0	0	0	0	0	0	0.07	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Puka	AL_Puka	AL	Albania	3500	3.6	CS	NA	NA	1370-1430	1400	NA	2600	NA	NA	NA	NA	0	NA	20	NA	-3.5	NA	NA	7	NA	NA	NA	NA	7.7	NA	NA	"Fa, Ab"	F5a	0.98	0	0.02	G1.63	9130	W	NA	NA	NA	NA	FALSE	NA	NA	0	V	NA	NA	NA	781	764	0	0	0	0	17	0	0	7	1997	9	7	0	0	0	0	2	0	0	7	1997	20	17	0	0	0	0	3	0	0	20	1997	30	25	0	0	0	0	5	0	0	0.04	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rajca	AL_Rajca	AL	Albania	2000	6	CS	NA	NA	1400-1450	1425	NA	1500	NA	NA	NA	NA	0	NA	12	NA	-5	NA	NA	4	NA	NA	NA	NA	8	NA	NA	Fa	F5a	1	0	0	G1.63	9130	W	NA	NA	NA	NA	FALSE	NA	NA	0	V	NA	NA	NA	807	806	0	0	2	0	0	0	0	7	1997	25	25	0	0	0	0	0	0	0	7	1997	59	59	0	0	0	0	0	0	0	20	1997	83	83	0	0	0	0	0	0	0	0.1	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dobra	AU_Dobra	AU	Austria	6	5.5	NA	48.62277601	15.53791639	390-550	470	NA	650	NA	NA	748	362	386	12.5	15.8	22.6	-1.6	-5.8	28.4	7	NA	NA	7.3	B	24.3	102	25	"Fa, Ul, Ti, Ac"	F5a	0.71	0.27	0.02	G1.63	9130	NA	NA	NA	NA	I	FALSE	NA	NA	NA	NA	NA	H	NA	582	413	0	0	12	145	6	6	0	8	1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1970	45	29	0	0	0	14	1	1	0	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neuwald	NA	AU	Austria	NA	NA	NA	47.7733761	15.53616428	NA	NA	NA	NA	NA	NA	998	127	871	30.5	NA	19.8	NA	-8.4	28.2	NA	NA	NA	4.7	E	NA	212	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	715	NA	NA	NA	NA	NA	NA	NA	NA	7	1986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neuwald	NA	AU	Austria	NA	NA	NA	47.7733761	15.53616428	NA	NA	NA	NA	NA	NA	998	127	871	30.5	NA	19.8	NA	-8.4	28.2	NA	NA	NA	4.7	E	NA	212	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	741	NA	NA	NA	NA	NA	NA	NA	NA	7	2006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rothwald	AU_Roth	AU	Austria	300	300	PP	47.7740526	15.09667414	940-1500	1220	1046	2320	NA	NA	1100	127	973	36.8	12.7	19.6	-4.7	-8.7	28.3	3.7	NA	NA	4.5	E	5.5	244	23	"Fa, Ab, Pi"	F5b	0.43	0	0.57	G1.63	9130	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	547	235	0	0	0	0	164	148	0	1	1977	106	NA	NA	NA	NA	NA	NA	NA	NA	1	1977	190	NA	NA	NA	NA	NA	NA	NA	NA	1	1977	296	NA	NA	NA	NA	NA	NA	NA	NA	0.54	0.36	NA	NA	63	3	0.58	0.58	0.57	30	96	118	11.9	NA	NA	NA	NA	6.93	2.78	1.8	NA
Beiaardbos	NA	BE	Belgium	NA	NA	NA	50.7703897	3.558913647	NA	NA	NA	NA	205	NA	776	467	309	2.4	NA	21.4	NA	-0.2	21.6	NA	NA	16.3	9.7	L	NA	80	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Beisbroek	NA	BE	Belgium	NA	NA	NA	51.17519914	3.154644645	NA	NA	NA	NA	202	NA	735	556	179	2.8	NA	20.4	NA	0.7	19.7	NA	NA	16.2	10	P	NA	74	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
