Site name,Beech Boy Site (Year),Beech Boy Code,Beech Boy Survey,Site code,Country Code,Country,Site area (ha),Area of study (ha),Dead wood sampling method,Latidute N (new),Longitude E (new),Altitude (m),Altitude average (m),Altitude (STRM),Annual precipitation (diff. sources) (mm),Precipitation of Warmest Quarter (bio18),Precipitation in vegetation period,Annual precipitation (Bio12) (mm),Annual evaporation (mm),Water balance (prec - evap),Snow cover (MODIS MYD10v5),Mean temperature of the warmst month,Max temp. of warmest month (Bio5),Mean temperature of the coldest month,Min temp. of coldest month (Bio6),Temp. Annual range (Bio7),Mean annual temperature,Mean temperature in vegetation period,Mean Temperature of Warmest Quarter (Bio10),Annual Mean Temp. (Bio1),"Soil type (FAO85-LEV1, EU soil atlas)",Ellenberg quotient (Q),Lang Quotient (Based on WorldClim),CORINE 2006,Main tree species (only tree species with more than 10 m3 living volume),Forest type BEAR,Beech proportion,Deciduous proportion (minus beech),Conifer proportion,Eunis (only dominating forest type),Forest type (Natura 2000) EU-habitat Directive,Natural Disturbance - Wind,Natural Disturbance - Snow,Natural Disturbance - Waterlogging,Natural Disturbance - Drought,Natural Disturbance - Insects,Natural Disturbance - Fungi,Reserve established (year),Reserve age,Reserve classification,Virgin forest,Former coppice,Former high forest,Former wood pasture,Living tree volume (m3 ha-1) TOTAL, Living tree volume (m3 ha-1) Fagus,Living tree volume (m3 ha-1) Quercus,Living tree volume (m3 ha-1) Fraxinus,Living tree volume (m3 ha-1) Acer,Living tree volume (m3 ha-1) Other decideuous, Living tree volume (m3 ha-1) Abies,Living tree volume (m3 ha-1) Picea,Living tree volume (m3 ha-1) Other coniferous,Living tree volume (m3 ha-1) Minimum dbh recorded (cm),Living tree volume (m3 ha-1) Year recorded,Snag & standing dead trees  volume (m3 ha-1) TOTAL,Snag & standing dead trees  volume (m3 ha-1) Fagus,Snag & standing dead trees  volume (m3 ha-1) Quercus,Snag & standing dead trees  volume (m3 ha-1) Fraxinus,Snag & standing dead trees  volume (m3 ha-1) Acer,Snag & standing dead trees  volume (m3 ha-1) Other decideuous,Snag & standing dead trees  volume (m3 ha-1) Abies,Snag & standing dead trees  volume (m3 ha-1) Picea,Snag & standing dead trees  volume (m3 ha-1) Other coniferous,Snag & standing dead trees  volume (m3 ha-1) Minimum dbh recorded (cm),Snag & standing dead trees  volume (m3 ha-1) Year recorded,Fallen log volume (m3 ha-1) TOTAL,Fallen log volume (m3 ha-1) Fagus,Fallen log volume (m3 ha-1) Quercus,Fallen log volume (m3 ha-1) Fraxinus, Fallen log volume (m3 ha-1) Acer,Fallen log volume (m3 ha-1) Other decideuous,Fallen log volume (m3 ha-1) Abies,Fallen log volume (m3 ha-1) Picea,Fallen log volume (m3 ha-1) Other coniferous,Fallen log volume (m3 ha-1) Minimum dbh recorded (cm),Fallen log volume (m3 ha-1) Year recorded,Total dead volume (m3 ha-1) TOTAL,Total dead volume (m3 ha-1) Fagus,Total dead volume (m3 ha-1) Quercus,Total dead volume (m3 ha-1) Fraxinus,Total dead volume (m3 ha-1)  Acer,Total dead volume (m3 ha-1) Other decideuous,Total dead volume (m3 ha-1) Abies,Total dead volume (m3 ha-1) Picea,Total dead volume (m3 ha-1) Other coniferous,Dead/living volume (%),Snag/log ratio (%),No. of sampled trees,Decay stages of CWD4,Beech Boys average dbh,Beech Boys average DC,Beech Boys average moss cover,Beech Boys average bark cover,Beech Boys average soil contact,Beech Boys number of logs,Beech Boys number of species,Beech Boys Chao2 estimated species richness (based on n=20),Beech Boys number of fungi per log,Vegetation (Nerea),UTMY,UTMX,UTMzone,Connectivity 1 km,Connectivity 10 km,Connectivity 100 km,Beech Boys Region
Lumini Gashi,,,,,AL,Albania,,,,42.46939964,20.06233837,,,1072,,,,1154,407,747,21.7,,22.7,,-5.3,27.8,,,,7.7,B,,150,23,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6.96    , 4.78    , 2.07    ,
Mirdita,,,,AL_Mirdi,AL,Albania,3500.0,5.0,CS,,,1370-1430,1400,,2600,,,,,0,,20.0,,-3.5,,,7.0,,,,,7.7,NA,,Fa,F5a,1.00,0.00,0.00,G1.63,9130,W,,,,,F,,NA,0,V,,,,560,559,0,0,2,0,0,0,0,7,1997,5,5,0,0,0,0,0,0,0,7,1997,35,35,0,0,0,0,0,0,0,20,1997,40,40,0,0,0,0,0,0,0,0.07,0.13,,,,,,,,,,,,,,,,,,,
Puka,,,,AL_Puka,AL,Albania,3500.0,3.6,CS,,,1370-1430,1400,,2600,,,,,0,,20.0,,-3.5,,,7.0,,,,,7.7,NA,,"Fa, Ab",F5a,0.98,0.00,0.02,G1.63,9130,W,,,,,F,,NA,0,V,,,,781,764,0,0,0,0,17,0,0,7,1997,9,7,0,0,0,0,2,0,0,7,1997,20,17,0,0,0,0,3,0,0,20,1997,30,25,0,0,0,0,5,0,0,0.04,0.32,,,,,,,,,,,,,,,,,,,
Rajca,,,,AL_Rajca,AL,Albania,2000.0,6.0,CS,,,1400-1450,1425,,1500,,,,,0,,12.0,,-5.0,,,4.0,,,,,8.0,NA,,Fa,F5a,1.00,0.00,0.00,G1.63,9130,W,,,,,F,,NA,0,V,,,,807,806,0,0,2,0,0,0,0,7,1997,25,25,0,0,0,0,0,0,0,7,1997,59,59,0,0,0,0,0,0,0,20,1997,83,83,0,0,0,0,0,0,0,0.10,0.30,,,,,,,,,,,,,,,,,,,
Dobra,,,,AU_Dobra,AU,Austria,6.0,5.5,,48.62277601,15.53791639,390-550,470,,650,,,748,362,386,12.5,15.8,22.6,-1.6,-5.8,28.4,7.0,,,7.3,B,24.3,102,25,"Fa, Ul, Ti, Ac",F5a,0.71,0.27,0.02,G1.63,9130,,,,,I,F,,NA,,,,H,,582,413,0,0,12,145,6,6,0,8,1970,,,,,,,,,,,1970,,,,,,,,,,,1970,45,29,0,0,0,14,1,1,0,0.08,.,,,,,,,,,,,,,,,,,,,
Neuwald,,,,,AU,Austria,,,,47.7733761,15.53616428,,,,,,,998,127,871,30.5,,19.8,,-8.4,28.2,,,,4.7,E,,212,25,,,,,,,,,,,,,,,2014,,,,,,715,,,,,,,,,7,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuwald,,,,,AU,Austria,,,,47.7733761,15.53616428,,,,,,,998,127,871,30.5,,19.8,,-8.4,28.2,,,,4.7,E,,212,26,,,,,,,,,,,,,,,2014,,,,,,741,,,,,,,,,7,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwald,2013,ROT,2013_10,AU_Roth,AU,Austria,300.0,300.0,PP,47.7740526,15.09667414,940-1500,1220,1046,2320,,,1100,127,973,36.8,12.7,19.6,-4.7,-8.7,28.3,3.7,,,4.5,E,5.5,244,23,"Fa, Ab, Pi",F5b,0.43,0.00,0.57,G1.63,9130,W,,,,,,,NA,,,,,,547,235,0,0,0,0,164,148,0,1,1977,106,,,,,,,,,1,1977,190,,,,,,,,,1,1977,296,,,,,,,,,0.54,0.36,,,63,3.0,0.58,0.58,0.57,30,96,118,11.9,,,,, 6.93    , 2.78    , 1.80    ,
Beiaardbos,,,,,BE,Belgium,,,,50.7703897,3.558913647,,,,,205,,776,467,309,2.4,,21.4,,-0.2,21.6,,,16.3,9.7,L,,80,23,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beisbroek,,,,,BE,Belgium,,,,51.17519914,3.154644645,,,,,202,,735,556,179,2.8,,20.4,,0.7,19.7,,,16.2,10.0,P,,74,24,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
